county,dem_votes,rep_votes,total_votes,year,office,state,cvap_approx,dem_voteshare,turnout
Chelan,19349,22746,43306,2020,President,WA,50981,0.4596507898800333,0.8494537180518232
Clallam,24721,23062,49264,2020,President,WA,59408,0.5173597304480673,0.829248586049017
Clark,140324,126303,275403,2020,President,WA,301241,0.5262932861263113,0.9142281429154729
Columbia,668,1754,2495,2020,President,WA,3307,0.27580511973575556,0.7544602358633202
Cowlitz,23938,34424,60280,2020,President,WA,77534,0.4101641479044584,0.7774653700312121
Douglas,7811,12955,21308,2020,President,WA,24311,0.3761436964268516,0.8764756694500432
Ferry,1486,2771,4367,2020,President,WA,6058,0.34907211651397696,0.7208649719379333
Franklin,13340,18039,32404,2020,President,WA,35584,0.4251250836546735,0.9106339928057554
Garfield,366,1069,1489,2020,President,WA,1882,0.25505226480836235,0.7911795961742827
Grant,11819,24764,37680,2020,President,WA,52237,0.3230735587567996,0.7213277944751805
Grays Harbor,17354,19877,38441,2020,President,WA,56842,0.4661169455561226,0.6762781042187115
Island,29213,22746,53925,2020,President,WA,63907,0.5622317596566524,0.8438042780916019
Jefferson,17204,6931,24792,2020,President,WA,26161,0.7128237000207168,0.9476701960934215
King,907310,269167,1210507,2020,President,WA,1377247,0.7712092969093318,0.8789323919384104
Kitsap,90277,61563,158672,2020,President,WA,194908,0.5945534773445732,0.814086646007347
Kittitas,11421,14105,26364,2020,President,WA,33035,0.4474261537256131,0.7980626608142879
Klickitat,5959,7237,13560,2020,President,WA,15646,0.4515762352227948,0.8666751885465934
Lewis,14520,29391,45309,2020,President,WA,57971,0.3306688529070165,0.7815804453951114
Lincoln,1713,5150,7033,2020,President,WA,8469,0.24959930059740637,0.8304404298028103
Mason,17269,18710,37303,2020,President,WA,47843,0.47997442952833597,0.7796960892920595
Okanogan,8900,11840,21282,2020,President,WA,30051,0.42912246865959497,0.7081960666866327
Pacific,6794,6953,14064,2020,President,WA,17469,0.4942169200552848,0.8050832904001374
Pend Oreille,2593,5728,8553,2020,President,WA,10468,0.3116211993750751,0.8170615208253725
Pierce,249506,197730,464081,2020,President,WA,588274,0.557884427908308,0.7888857913149315
San Juan,9725,3057,13197,2020,President,WA,13202,0.7608355499921765,0.9996212695046205
Skagit,38252,32762,73423,2020,President,WA,85462,0.5386543498465092,0.8591303737333552
Skamania,3192,3885,7312,2020,President,WA,8745,0.45103857566765576,0.8361349342481418
Snohomish,256728,166428,438796,2020,President,WA,507146,0.6066982389473385,0.86522618733067
Spokane,135765,148576,295430,2020,President,WA,362584,0.4774724714339473,0.8147905037177592
Stevens,7839,19808,28430,2020,President,WA,33968,0.2835389011465982,0.8369642016015073
Thurston,96608,65277,168134,2020,President,WA,191431,0.5967693115483214,0.8783007976764474
Wahkiakum,1165,1741,2981,2020,President,WA,3291,0.40089470061940813,0.9058037070799149
Walla Walla,13690,16400,31261,2020,President,WA,42888,0.4549684280491858,0.7288985263943294
Whatcom,83660,50489,138620,2020,President,WA,153207,0.6236349134171705,0.9047889456748059
Whitman,11184,9067,21126,2020,President,WA,36496,0.5522690237519134,0.5788579570363875
Yakima,43179,50555,96193,2020,President,WA,144240,0.46065461838820493,0.6668954520244038
Adams,969,3150,4131,2022,Senate,WA,9709,0.23525127458120904,0.425481511999176
Asotin,3181,5824,9018,2022,Senate,WA,17804,0.3532481954469739,0.506515389800045
Benton,25513,50108,75749,2022,Senate,WA,120339,0.3373798283545576,0.6294634324699391
Chelan,14373,19833,34273,2022,Senate,WA,51943,0.42018944044904405,0.6598194174383459
Clallam,20784,19401,40279,2022,Senate,WA,60529,0.5172079134005226,0.6654496191908011
Clark,105058,100260,205616,2022,Senate,WA,306925,0.5116843140883898,0.669922619532459
Columbia,592,1575,2179,2022,Senate,WA,3370,0.27318874019381634,0.6465875370919881
Cowlitz,17439,27446,44942,2022,Senate,WA,78997,0.3885262337083658,0.5689076800384825
Douglas,5275,10806,16117,2022,Senate,WA,24770,0.32802686400099496,0.6506661283811062
Ferry,1060,2348,3415,2022,Senate,WA,6172,0.31103286384976525,0.5533052495139339
Franklin,7022,15174,22214,2022,Senate,WA,36256,0.31636330870427104,0.612698587819947
Garfield,307,977,1287,2022,Senate,WA,1917,0.23909657320872274,0.6713615023474179
Grant,7221,19655,26912,2022,Senate,WA,53222,0.26867837475814854,0.5056555559730939
Grays Harbor,13600,15718,29399,2022,Senate,WA,57915,0.46387884576028376,0.5076232409565743
